path;total_conversions;total_conversion_value;total_null
Affiliate;256;17882.4112;3168
Affiliate > Affiliate;38;2807.607226;502
Affiliate > Affiliate > Affiliate;8;565.5615049;87
Affiliate > Affiliate > Affiliate > Affiliate;3;209.3772893;12
Affiliate > Affiliate > Affiliate > Affiliate > Affiliate;0;0;1
Affiliate > Affiliate > Affiliate > Affiliate > Affiliate > Affiliate;0;0;1
Affiliate > Affiliate > Affiliate > Affiliate > Display > Display > Newsletter;0;0;1
Affiliate > Affiliate > Affiliate > Display;0;0;1
Affiliate > Affiliate > Affiliate > Display > Display > Display;0;0;2
Affiliate > Affiliate > Affiliate > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Affiliate > Affiliate > Affiliate > Display > Display > Display > Price_comparison;0;0;1
Affiliate > Affiliate > Affiliate > SEO;0;0;1
Affiliate > Affiliate > Display;0;0;6
Affiliate > Affiliate > Display > Display;0;0;2
Affiliate > Affiliate > Display > Display > Display;0;0;4
Affiliate > Affiliate > Display > Display > Display > Display;0;0;2
Affiliate > Affiliate > Display > Display > Display > Display > Display;0;0;3
Affiliate > Affiliate > Display > Display > Display > Display > Display > Display;0;0;2
Affiliate > Affiliate > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Affiliate > Affiliate > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Affiliate > Affiliate > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Affiliate > Affiliate > Display > Display > Newsletter;0;0;1
Affiliate > Affiliate > Display > Newsletter > Newsletter;0;0;1
Affiliate > Affiliate > Newsletter;0;0;2
Affiliate > Affiliate > Newsletter > Newsletter;0;0;2
Affiliate > Affiliate > Newsletter > Newsletter > Newsletter;0;0;1
Affiliate > Affiliate > Other > Display > Display > Display > Display;0;0;1
Affiliate > Affiliate > Other > Other > Other > Other;0;0;1
Affiliate > Affiliate > Price_comparison;0;0;1
Affiliate > Affiliate > SEA;0;0;7
Affiliate > Affiliate > SEO;1;72.54239693;9
Affiliate > Affiliate > SEO > Display;0;0;1
Affiliate > Affiliate > SEO > SEA;0;0;1
Affiliate > Affiliate > SEO > SEO;0;0;1
Affiliate > Display;0;0;36
Affiliate > Display > Display;0;0;21
Affiliate > Display > Display > Display;0;0;16
Affiliate > Display > Display > Display > Display;0;0;11
